Teacher Name;University Currently Teaching;Department;Province University Located;Designation;Terminal Degree;Graduated from;Country;Year;Area of Specialization/Research Interests;Other Information
Fazal Mohammad;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Ayesha Abdul Majeed;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Syed Mohammad Junaid Hassan;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Abdullah Khan;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Syed Umair Shah;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Yahya Jan;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Mohammad Luqman Khan;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Rabia Athar;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Syed Shah Zaman;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Mohammad Shakeel;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Waleed Hasni;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Engr. Syed Usman;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Ayesha Iftikhar;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Engr. Mehrullah Soomroo;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Engr. Taqia Manzoor;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Kanza Ali;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Pooma Panezai;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Engr. Muhammad Ayub;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Engr. Muzamil Hussain;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Engr. Shiekh Mir Ahmed;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Engr. Rabia Qadar;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Engr. Ishtiaq Ahmed;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Engr. Attiq Ur Rehman;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Engr. Syed Owais Athar;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Mohammad Imran;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Babar Ali;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Lubna Ayub;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Muhammad Akram;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Ayesha Enayat;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Azam Khan;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
Abdul Ali;Balochistan University of Information Technology, Engineering and Management Sciences;Computer Science;Balochistan;Lecturer;;;;;;
