,Teacher Name,University Currently Teaching,Department,Province University Located,Designation,Terminal Degree,Graduated from,Country,Year,Area of Specialization/Research Interests,Other Information
150,Javed Iqbal,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,University of Malaya,Malaysia,,"Software Process Improvement, Requirements Engineering & Software Development Outsourcing ",
151,Azra Shamim,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
152,Tahir Mustafa Madni,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,MS,KTH Royal Institute of Technology,Sweden,," interactive systems, human computer interaction, ubiquitous computing and multimodal interfaces.",
153,Zeeshan Mehta,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
154,Shahid Hussain,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
155,Muzafar Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,University of Technology,Malaysia,,n HCI in general and usability evaluation / user experience ,
156,Qasim Arshad Choudhry,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
157,Ms.Rubina Adnan,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
158,Ms. Zaineb Suleman,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
159,Rizwana Irfa,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
160,Mubeen Ghafoor,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
161,Muhammad Imran,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
162,Mariam Akbar,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,COMSATS Institute of Information Technology,Pakistan,2016.0,Underwater Wireless Sensor Networks and Energy Management.,
163,Zobia Rehman,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,Knowledge Management and Natural Language Processing.,
164,Mr. Tanveer Ahmed,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,MS,Government College University,Pakistan,2003.0," Natural Language Processing, Machine Learning, and Text Mining.",
165,Adnan Akhunzada,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,PhD,National University of Sciences and Technology,Pakistan,," Secure & Dependable Software Defined Networks, Man-at-the-End Attacks Plus Human Attacker Attribution & Profiling, Large Scale Distributed Systems (Fog, Edge, and Cloud Computing (CC), Mobile Cloud Computing (MCC) etc.), Remote Data Auditing, Light Weight Cryptography, Blockchain and Cryptocurrency.",
166,Tehseen Zia,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
167,Hasan Ali Khattak,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
168,Saif ul Islam,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,,,,,,
169,Saif ur Rehman Khan,"COMSATS, Islamabad Campus",Computer Science,Capital,Assistant Professor,MS,Mohammad Ali Jinnah University,Pakistan,,"Software Testing, Object Oriented Analysis and Design, and Formal Methods",
170,Aamir Shabbir Parre,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
171,Atique Ahmad Zafar,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
172,Saleem Raza,"COMSATS, Islamabad Campus",Computer Science,Capital,Lecturer,,,,,,
